,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,13,913052,2753,537677,216334,321343,153369,38250,110497,4622,2479,19813,5604,20827,165220,88,8063,2665
11,14,905738,2736,533935,218448,315487,147711,37034,106034,4643,2454,19426,5522,20964,167685,54.0,8041,2682.0
12,15,900212,2743,530308,221585,308723,142416,35786,101924,4706,2473,18869,5488,21041,171701,35.0,7916,2708.0
13,16,899539,2736,529975,225894,304081,137609,34714,97960,4935,2467,17996,5449,21322,176946,26.0,7775,2710.0
14,17,897431,2771,528491,228242,300249,131058,32430,93558,5070,2420,17333,5429,21769,183207,22.0,7724,2749.0
