,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,９　,945839,2591,549522,186374,363148,180320,43376,132292,4652,2835,18416,5833,20384,160238,90,8291,2501
11,10,931917,2633.0,548197,195662,352535,169856,41913,123384,4559,2740,19033,5791,20222,157838,91.0,8240,2542.0
12,11,921544,2748.0,543083,203759,339324,163018,39669,118858,4491,2683,19295,5711,20154,159341,95.0,8259,2653.0
13,12,917210,2789.0,539770,210901,328869,158380,39142,114631,4607,2637,19560,5669,20426,162574,101.0,8194,2688.0
14,13,913052,2753.0,537677,216334,321343,153369,38250,110497,4622,2479,19813,5604,20827,165220,88.0,8063,2665.0
