,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,39958,105,23732,11757,11975,6956,899,6009,48,196,609,348,102,159,957,7252,16,256,89
17,都島,25017,48,15838,8075,7763,2403,578,1825,0,25,443,228,147,68,829,5388,2,91,46
18,福島,21917,859,11581,6084,5497,3448,842,2557,49,25,529,326,121,82,532,4348,7,1454,852
19,此花,24059,85,11461,5485,5976,4504,1999,2125,380,284,1523,1168,50,305,688,5374,4,225,81
20,中央,43966,73,27852,13359,14493,6958,484,6461,13,36,550,250,120,180,1074,7360,16,136,57
21,西,34120,180,19253,9597,9656,6766,946,5601,219,16,692,382,59,251,750,6248,32,395,148
22,港,27553,117,13209,6485,6724,5085,2132,2438,515,271,1697,762,81,854,719,6265,7,307,110
23,大正,26407,50,12553,5870,6683,5295,2345,2517,433,113,1075,676,42,357,572,6584,5,215,45
24,天王寺,17248,42,11196,6622,4574,1687,175,1511,1,12,188,109,48,31,455,3605,1,105,41
25,浪速,18751,69,9481,4799,4682,3196,701,2484,11,17,809,340,286,183,445,4592,5,211,64
26,西淀川,37605,114,19996,9529,10467,6828,2775,3805,248,79,1527,1063,76,388,955,7858,9,362,105
27,淀川,53877,111,33567,15044,18523,6679,1003,5662,14,77,558,416,101,41,1701,11087,28,208,83
28,東淀川,47443,77,28042,12769,15273,4055,1043,3010,2,143,912,661,55,196,1721,12448,4,122,73
29,東成,23633,119,13264,6459,6805,3078,750,2309,19,67,398,226,116,56,694,5840,5,292,114
30,生野,37416,158,20547,9716,10831,3793,788,3001,4,70,650,481,78,91,912,10960,5,484,153
31,旭,23891,25,14423,6746,7677,1847,366,1473,8,38,417,325,40,52,820,6273,4,73,21
32,城東,44823,106,27518,13196,14322,4033,953,3062,18,33,920,538,166,216,1569,10505,4,245,102
33,鶴見,37130,59,21645,10468,11177,4106,1630,2454,22,30,722,461,108,153,1015,9347,6,265,53
34,阿倍野,23988,12,16804,9112,7692,1269,217,1051,1,17,239,178,43,18,718,4885,5,56,7
35,住之江,51294,183,25372,11500,13872,11328,4671,3310,3347,203,2745,1778,128,839,1032,10336,9,278,174
36,住吉,39492,22,25215,11943,13272,2337,508,1809,20,110,791,289,61,441,1110,9874,8,55,14
37,東住吉,40946,267,23592,11413,12179,3873,1019,2817,37,39,845,513,213,119,1201,10961,9,435,258
38,平野,69562,199,39188,17977,21211,7213,2019,5121,73,127,1140,861,164,115,1607,19784,8,503,191
39,西成,25480,30,13231,6210,7021,3551,1285,2222,44,42,703,486,117,100,666,7126,1,161,29
