,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,12,917210,2789,539770,210901,328869,158380,39142,114631,4607,2637,19560,5669,20426,162574,101,8194,2688
11,13,913052,2753.0,537677,216334,321343,153369,38250,110497,4622,2479,19813,5604,20827,165220,88.0,8063,2665.0
12,14,905738,2736.0,533935,218448,315487,147711,37034,106034,4643,2454,19426,5522,20964,167685,54.0,8041,2682.0
13,15,900212,2743.0,530308,221585,308723,142416,35786,101924,4706,2473,18869,5488,21041,171701,35.0,7916,2708.0
14,16,899539,2736.0,529975,225894,304081,137609,34714,97960,4935,2467,17996,5449,21322,176946,26.0,7775,2710.0
