,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,39816,101,23566,11456,12110,7173,920,6189,64,199,605,348,98,159,824,7182,15,267,86
17,都島,24967,52,15789,7948,7841,2452,570,1882,0,23,423,221,135,67,724,5456,0,100,52
18,福島,21892,902,11501,5916,5585,3534,842,2643,49,24,529,328,119,82,462,4314,1,1528,901
19,此花,23761,85,11397,5352,6045,4560,2010,2149,401,292,1443,1097,44,302,633,5191,2,245,83
20,中央,43592,76,27472,12899,14573,7316,503,6800,13,34,565,257,128,180,940,7120,16,145,60
21,西,34080,164,19215,9421,9794,6929,945,5758,226,15,676,368,55,253,692,6145,12,408,152
22,港,27703,96,13364,6391,6973,5126,2202,2441,483,307,1689,745,83,861,660,6262,0,295,96
23,大正,26817,41,12821,5914,6907,5421,2432,2543,446,108,1065,669,34,362,525,6680,2,197,39
24,天王寺,17265,40,11208,6521,4687,1739,174,1564,1,12,185,112,42,31,413,3599,0,109,40
25,浪速,18552,63,9323,4679,4644,3290,718,2552,20,10,814,340,291,183,392,4497,2,226,61
26,西淀川,37665,95,20236,9521,10715,6888,2808,3840,240,75,1504,1042,72,390,893,7712,3,357,92
27,淀川,53962,100,33670,14869,18801,6851,1000,5837,14,78,558,407,110,41,1548,11035,14,222,86
28,東淀川,47141,85,28171,12755,15416,4106,1047,3056,3,131,897,644,57,196,1592,12105,3,139,82
29,東成,23562,110,13296,6365,6931,3137,749,2365,23,74,385,212,116,57,617,5745,1,308,109
30,生野,37369,133,20694,9638,11056,3794,788,3002,4,69,662,499,72,91,874,10797,1,479,132
31,旭,23839,20,14654,6828,7826,1853,345,1502,6,39,409,323,36,50,733,6077,0,74,20
32,城東,45165,98,27840,13139,14701,4118,950,3150,18,34,947,553,178,216,1573,10407,1,246,97
33,鶴見,36897,49,21781,10373,11408,4120,1615,2483,22,29,715,456,104,155,964,9031,1,257,48
34,阿倍野,24086,8,16887,9049,7838,1322,229,1092,1,17,246,188,40,18,696,4853,1,65,7
35,住之江,51001,182,25318,11343,13975,11344,4622,3423,3299,196,2648,1701,127,820,937,10275,7,283,175
36,住吉,39598,13,25470,11860,13610,2386,499,1866,21,131,784,287,56,441,953,9811,2,63,11
37,東住吉,40812,280,23691,11262,12429,3956,1018,2899,39,37,888,566,202,120,1035,10714,6,491,274
38,平野,69406,169,39538,17971,21567,7341,2064,5184,93,159,1159,881,158,120,1427,19280,2,502,167
39,西成,25781,28,13516,6276,7240,3629,1285,2296,48,50,718,505,114,99,572,7130,0,166,28
