,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,43837,83,25295,10837,14458,8951,1060,7828,63,209,552,160,922.0,7449,5,299,78
17,都島,26777,49,17149,8008,9141,3261,734,2524,3,18,420,68,797.0,4946,1.0,118,48.0
18,福島,23246,911,11668,5291,6377,4416,1016,3347,53,17,453,83,497.0,4515,0.0,1597,911.0
19,此花,24213,29,12646,5392,7254,4508,1898,2308,302,274,1127,308,550.0,4616,0.0,184,29.0
20,中央,45049,69,27638,11283,16355,8691,603,8075,13,37,485,178,935.0,6910,0.0,175,69.0
21,西,35939,154,19727,8809,10918,8460,1252,6912,296,10,481,263,701.0,5862,4.0,435,150.0
22,港,28963,79,14407,6338,8069,5609,2088,2820,701,341,837,927,722.0,5838,0.0,282,79.0
23,大正,28933,22,14577,6285,8292,5896,2552,2805,539,118,810,331,551.0,6458,0.0,192,22.0
24,天王寺,18972,41,11998,6193,5805,2431,266,2164,1,17,154,31,517.0,3702,1.0,122,40.0
25,浪速,20357,52,10257,4734,5523,3903,812,3084,7,12,705,198,447.0,4587,3.0,248,49.0
26,西淀川,38910,70,21553,9235,12318,7417,2930,4301,186,78,1201,390,885.0,7014,1.0,372,69.0
27,淀川,57648,68,36290,14703,21587,8158,1166,6949,43,66,670,38,1561.0,10629,0.0,236,68.0
28,東淀川,52620,87,32700,13612,19088,5094,1168,3924,2,176,969,197,1799.0,11516,0.0,169,87.0
29,東成,25854,111,14760,6557,8203,4012,951,3034,27,112,394,55,609.0,5560,0.0,352,111.0
30,生野,42201,127,24248,10322,13926,4792,880,3907,5,69,636,104,985.0,10831,0.0,536,127.0
31,旭,26079,22,16718,7165,9553,2325,419,1902,4,46,300,47,904.0,5650,0.0,89,22.0
32,城東,48219,89,30298,12807,17491,4994,1098,3878,18,125,970,215,1571.0,9751,1.0,295,88.0
33,鶴見,38480,46,23314,10067,13247,5168,2100,3019,49,55,738,164,891.0,7884,0.0,266,46.0
34,阿倍野,25672,8,17858,8806,9052,1828,291,1535,2,15,266,18,748.0,4862,0.0,77,8.0
35,住之江,52502,203,28550,11706,16844,10403,3857,3929,2617,218,2005,885,901.0,9190,3.0,350,200.0
36,住吉,43938,13,28873,12501,16372,3100,602,2475,23,138,418,447,1122.0,9760,0.0,80,13.0
37,東住吉,44560,301,26782,11779,15003,4861,1159,3676,26,26,829,124,1053.0,10297,2.0,588,299.0
38,平野,74857,117,44945,18877,26068,8440,2101,6299,40,174,1122,100,1408.0,18174,0.0,494,117.0
39,西成,29605,20,16240,6935,9305,4340,1427,2863,50,69,791,98,693.0,7206,1.0,168,19.0
