,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,43605,87,25207,11017,14190,8717,1021,7633,63,209,522,159,922,7585,5,284,82
17,都島,26646,47,17019,7997,9022,3043,650,2391,2,14,395,68,810,5182,0,115,47
18,福島,22860,904,11613,5364,6249,4232,939,3242,51,19,459,83,520,4348,0,1586,904
19,此花,24124,35,12443,5395,7048,4492,1856,2333,303,240,1111,299,556,4796,0,187,35
20,中央,45177,65,27809,11531,16278,8549,600,7936,13,37,460,178,946,7032,0,166,65
21,西,36431,154,19912,8966,10946,8233,1118,6816,299,10,484,262,689,6401,5,440,149
22,港,28740,77,14246,6294,7952,5432,2051,2703,678,324,799,922,704,6034,0,279,77
23,大正,28727,21,14408,6292,8116,5687,2471,2690,526,129,825,330,569,6587,0,192,21
24,天王寺,18525,40,11726,6249,5477,2276,220,2056,0,15,151,31,473,3731,0,122,40
25,浪速,20126,49,10099,4683,5416,3814,820,2980,14,11,713,195,435,4623,3,236,46
26,西淀川,38927,76,21463,9285,12178,7329,2861,4249,219,74,1143,390,885,7255,0,388,76
27,淀川,57289,77,36032,14623,21409,7799,1073,6687,39,66,640,42,1508,10963,0,239,77
28,東淀川,51865,92,31916,13312,18604,4812,1078,3730,4,132,931,198,1780,11923,0,173,92
29,東成,25743,114,14655,6568,8087,3902,942,2933,27,97,382,55,618,5684,0,350,114
30,生野,41569,137,23790,10246,13544,4534,782,3747,5,69,613,101,963,10974,0,525,137
31,旭,25839,22,16484,7114,9370,2212,399,1808,5,41,291,48,874,5803,0,86,22
32,城東,47771,89,29888,12812,17076,4726,979,3728,19,120,913,217,1561,10060,0,286,89
33,鶴見,38312,39,22970,10008,12962,4789,1884,2854,51,24,644,167,897,8548,0,273,39
34,阿倍野,25530,8,17790,8852,8938,1716,250,1464,2,14,256,18,748,4910,0,78,8
35,住之江,52194,167,27987,11549,16438,10381,3812,3831,2738,214,1893,882,902,9619,1,316,166
36,住吉,43225,13,28302,12276,16026,2871,551,2296,24,149,392,447,1113,9874,0,77,13
37,東住吉,44018,300,26322,11628,14694,4598,1096,3475,27,24,809,124,1012,10545,2,584,298
38,平野,73976,127,44040,18600,25440,8055,1962,6018,75,174,1077,102,1398,18627,0,503,127
39,西成,29042,31,15835,6819,9016,4098,1322,2731,45,70,765,99,678,7329,0,168,21
