,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,41615,131,25301,13096,12205,6402,851,5539,12,225,664,385,123,156,986,7784,18,253,113
17,都島,24827,45,15681,8437,7244,2331,588,1741,2,25,370,204,98,68,807,5535,2,78,43
18,福島,21821,878,11638,6532,5106,3074,749,2292,33,13,511,307,122,82,546,4587,7,1452,871
19,此花,24754,103,11505,5749,5756,4762,2144,2126,492,284,1635,1282,53,300,694,5637,5,237,98
20,中央,45269,65,29363,14500,14863,6452,408,6032,12,37,499,227,92,180,1070,7729,12,119,53
21,西,34231,190,19930,10307,9623,6234,932,5129,173,17,666,349,69,248,794,6210,35,380,155
22,港,27721,121,12946,6708,6238,5378,2316,2480,582,196,1741,862,44,835,689,6466,9,305,112
23,大正,26354,59,12132,5921,6211,5352,2428,2468,456,146,1120,688,53,379,612,6740,5,252,54
24,天王寺,17432,42,11454,7123,4331,1542,180,1359,3,15,198,118,49,31,431,3691,2,101,40
25,浪速,19188,76,9821,5182,4639,3101,686,2404,11,21,914,383,348,183,517,4615,9,199,67
26,西淀川,38080,124,19636,9810,9826,6899,2881,3768,250,102,1620,1151,79,390,980,8472,10,371,114
27,淀川,54902,109,34034,15642,18392,6615,1035,5570,10,88,556,421,96,39,1715,11703,18,191,91
28,東淀川,46766,74,26901,12887,14014,3935,1044,2889,2,127,962,702,64,196,1694,13035,6,112,68
29,東成,23302,113,13036,6613,6423,2986,749,2217,20,10,389,222,112,55,658,5954,3,269,110
30,生野,37553,161,20249,10058,10191,3766,806,2955,5,72,687,504,91,92,928,11395,3,456,158
31,旭,23866,22,14121,6955,7166,1762,365,1388,9,38,480,377,50,53,840,6564,5,61,17
32,城東,44278,102,26777,13541,13236,3857,934,2909,14,33,845,509,120,216,1531,11001,3,234,99
33,鶴見,37361,83,21156,10765,10391,4099,1739,2338,22,35,774,498,121,155,1051,9982,10,264,73
34,阿倍野,24550,12,16823,9446,7377,1293,195,1097,1,15,234,173,42,19,749,5390,6,46,6
35,住之江,51898,280,24190,11446,12744,12136,5353,3292,3491,257,3001,2013,145,843,1041,10911,17,362,263
36,住吉,39293,22,24541,12233,12308,2243,493,1735,15,135,789,274,73,442,1093,10434,6,58,16
37,東住吉,40905,281,23137,11616,11521,3727,999,2678,50,71,938,560,264,114,1085,11537,9,410,272
38,平野,69758,214,38093,18596,19497,7235,2121,5056,58,64,1308,1015,180,113,1657,20903,12,498,202
39,西成,25342,34,12795,6285,6510,3478,1285,2148,45,46,759,518,140,101,654,7443,3,167,31
