,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,44823,94,25122,9760,15362,10609,1425,9108,76,191,652,159,859,6883,6,348,88
17,都島,26880,59.0,17110,7231,9879,3837,867,2967,3,21,432,68,741,4524,2.0,147,57.0
18,福島,23340,923.0,11532,4831,6701,5203,1264,3901,38,34,556,83,451,3877,1.0,1604,922.0
19,此花,24428,6.0,12802,5190,7612,5088,2231,2611,246,207,1181,307,521,4190,3.0,132,3.0
20,中央,44942,81.0,27170,10228,16942,9658,677,8969,12,50,651,178,964,6061,2.0,210,79.0
21,西,35746,138.0,18930,7658,11272,9584,1578,7679,327,34,560,268,599,5312,11.0,459,127.0
22,港,29765,77.0,15141,6266,8875,6033,2129,3303,601,326,967,971,709,5330,1.0,288,76.0
23,大正,29222,26.0,15175,6053,9122,6424,2773,3116,535,112,797,349,557,5606,1.0,202,25.0
24,天王寺,18957,50.0,11792,5348,6444,2993,327,2666,0,18,173,31,479,3338,3.0,133,47.0
25,浪速,21714,43.0,10562,4608,5954,4866,964,3887,15,13,832,202,407,4565,1.0,267,42.0
26,西淀川,38077,76.0,20938,8478,12460,8211,3329,4691,191,117,1279,407,785,5954,3.0,386,73.0
27,淀川,57294,71.0,36019,13572,22447,9427,1419,7957,51,81,815,37,1473,9184,2.0,258,69.0
28,東淀川,55004,75.0,34642,13473,21169,6478,1687,4776,15,213,1177,209,1817,10287,3.0,181,72.0
29,東成,26229,106.0,15031,6228,8803,4607,979,3596,32,113,446,58,577,5015,3.0,382,103.0
30,生野,44144,119.0,25588,10253,15335,6024,1215,4805,4,65,690,107,940,10170,2.0,560,117.0
31,旭,26961,24.0,17261,6895,10366,2952,574,2372,6,36,358,40,824,5397,2.0,93,22.0
32,城東,48170,79.0,30155,11714,18441,6147,1369,4746,32,126,1240,220,1493,8465,1.0,324,78.0
33,鶴見,38387,73.0,23286,9416,13870,6241,2550,3652,39,76,836,166,830,6666,1.0,286,72.0
34,阿倍野,25624,9.0,17570,7907,9663,2424,359,2063,2,25,305,19,722,4475,1.0,84,8.0
35,住之江,52609,148.0,29176,11355,17821,10770,4093,4450,2227,197,2119,946,855,8227,4.0,319,144.0
36,住吉,45345,8.0,30245,12465,17780,3996,724,3254,18,144,506,454,1079,8838,1.0,83,7.0
37,東住吉,46972,313.0,28058,11594,16464,6331,1502,4803,26,24,1026,123,1080,9716,4.0,614,309.0
38,平野,77165,106.0,47112,18947,28165,10188,2521,7630,37,178,1323,98,1405,16355,1.0,506,105.0
39,西成,31254,49.0,17260,6864,10396,5278,1694,3495,89,78,892,104,660,6785,29.0,197,20.0
