,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,40195,89,23526,11167,12359,7477,943,6471,63,214,457,160,844,7244,4,273,85
17,都島,25161,50,15874,7901,7973,2513,579,1934,0,23,393,68,775,5414,0,101,50
18,福島,21971,916,11355,5684,5671,3643,887,2708,48,21,454,82,486,4375,1,1555,915
19,此花,23496,78,11404,5291,6113,4476,1937,2195,344,247,1091,305,611,5119,3,243,75
20,中央,43554,72,27194,12409,14785,7459,512,6934,13,36,419,180,946,7171,11,149,61
21,西,34195,160,19112,9197,9915,7086,963,5907,216,16,403,256,691,6208,9,423,151
22,港,27889,89,13371,6355,7016,5149,2175,2488,486,293,820,876,673,6414,0,293,89
23,大正,27148,37,12946,5889,7057,5460,2436,2547,477,109,735,361,550,6791,2,196,35
24,天王寺,17391,42,11202,6464,4738,1843,177,1665,1,12,147,31,421,3621,2,114,40
25,浪速,18541,67,9190,4525,4665,3356,749,2592,15,13,633,183,406,4527,2,233,65
26,西淀川,37784,89,20369,9426,10943,6898,2826,3833,239,75,1100,387,886,7713,1,356,88
27,淀川,54217,94,33651,14601,19050,6979,990,5975,14,70,520,41,1550,11180,9,226,85
28,東淀川,47698,83,28531,12750,15781,4229,1077,3149,3,111,710,199,1669,12109,0,140,83
29,東成,23794,112,13324,6258,7066,3237,786,2428,23,74,338,58,615,5829,0,319,112
30,生野,37904,134,21013,9672,11341,3873,799,3070,4,70,543,92,908,10917,1,488,133
31,旭,24159,19,14852,6888,7964,1936,368,1562,6,40,336,50,797,6073,0,75,19
32,城東,45353,99,27915,13015,14900,4128,919,3192,17,32,732,215,1615,10448,0,268,99
33,鶴見,36988,47,21821,10280,11541,4213,1700,2487,26,29,548,156,956,8984,0,281,47
34,阿倍野,24179,7,16883,8952,7931,1366,240,1125,1,16,223,18,708,4897,0,68,7
35,住之江,50786,180,25263,11227,14036,11422,4659,3524,3239,195,1823,821,926,10037,2,299,178
36,住吉,39877,11,25632,11758,13874,2429,508,1904,17,129,340,442,982,9856,1,67,10
37,東住吉,41092,289,23821,11184,12637,4037,1037,2958,42,36,738,122,1031,10783,4,524,285
38,平野,69732,153,39881,17923,21958,7359,2059,5195,105,154,984,114,1464,19279,0,497,153
39,西成,26534,27,14073,6412,7661,3749,1309,2393,47,56,609,98,596,7184,0,169,27
