,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,24,835576,3110,478560,230215,248345,110288,30128,74634,5526,2070,20682,12865,2522,5295,22742,194300,200,6934,2910
11,25,838591,3146,477502,234207,243295,109766,30440,73678,5648,1998,20950,13148,2494,5308,22837,198708,209,6830,2937
12,26,842716,3268,475085,235892,239193,109121,30950,72530,5641,1994,21248,13394,2555,5299,22188,206212,222,6868,3046
13,27,841066,3341,475260,239448,235812,108659,31281,71610,5768,2072,21660,13742,2628,5290,22822,203718,215,6875,3126
14,28,845427,3366,477819,244678,233141,108409,31530,70967,5912,2146,22025,14102,2653,5270,22805,205382,206,6841,3160
