,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,44416,87,25379,10583,14796,9490,1219,8198,73,212,597,160,888,7374,5,316,82
17,都島,26848,53.0,17156,7889,9267,3449,784,2662,3,16,448,68,796,4784,1.0,131,52.0
18,福島,22845,934.0,11481,5102,6379,4602,1124,3429,49,17,442,83,493,4100,0.0,1627,934.0
19,此花,24333,17.0,12661,5379,7282,4737,2044,2403,290,264,1164,302,540,4482,0.0,183,17.0
20,中央,44555,72.0,27205,10823,16382,8855,605,8237,13,41,483,178,905,6706,1.0,182,71.0
21,西,35507,141.0,19302,8464,10838,8750,1328,7100,322,12,483,264,646,5618,4.0,432,137.0
22,港,29096,89.0,14616,6401,8215,5764,2158,2927,679,331,880,930,728,5558,0.0,289,89.0
23,大正,29023,25.0,14744,6232,8512,6086,2648,2904,534,120,801,337,549,6186,0.0,200,25.0
24,天王寺,18903,45.0,11813,5942,5871,2571,296,2274,1,19,149,31,511,3682,1.0,127,44.0
25,浪速,20484,41.0,10307,4686,5621,4119,835,3275,9,13,735,199,446,4415,1.0,250,40.0
26,西淀川,38506,77.0,21317,9063,12254,7660,3168,4294,198,83,1254,395,844,6568,2.0,385,75.0
27,淀川,57274,75.0,36071,14382,21689,8533,1250,7236,47,73,711,40,1533,10067,0.0,246,75.0
28,東淀川,53253,89.0,33236,13727,19509,5560,1387,4171,2,191,984,200,1813,11090,1.0,179,88.0
29,東成,25895,108.0,14807,6498,8309,4166,982,3156,28,122,404,56,611,5372,1.0,357,107.0
30,生野,42818,116.0,24640,10332,14308,5205,991,4209,5,68,655,105,967,10651,0.0,527,116.0
31,旭,26214,21.0,16891,7183,9708,2453,450,1997,6,45,328,45,878,5487,1.0,87,20.0
32,城東,48004,80.0,30276,12664,17612,5365,1228,4121,16,122,965,214,1534,9243,1.0,285,79.0
33,鶴見,38629,51.0,23413,10016,13397,5498,2240,3214,44,67,780,164,880,7566,0.0,261,51.0
34,阿倍野,25553,7.0,17753,8628,9125,1944,310,1632,2,24,287,18,729,4722,0.0,76,7.0
35,住之江,52704,167.0,28758,11623,17135,10454,3930,4038,2486,216,2142,891,904,9032,4.0,307,163.0
36,住吉,44189,9.0,29197,12622,16575,3404,674,2712,18,143,434,448,1083,9407,0.0,73,9.0
37,東住吉,45153,303.0,26951,11738,15213,5384,1273,4088,23,26,880,124,1036,10155,2.0,597,301.0
38,平野,75336,107.0,45506,19006,26500,8920,2257,6630,33,171,1179,100,1377,17603,0.0,480,107.0
39,西成,30001,22.0,16495,6911,9584,4640,1533,3053,54,71,811,97,631,7078,1.0,178,21.0
