,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,41784,92,24290,11181,13109,8137,998,7073,66,208,452,161,885,7376,3,275,89
17,都島,25865,47,16331,8056,8275,2731,614,2117,0,22,373,69,815,5421,0,103,47
18,福島,22484,930,11351,5510,5841,4033,956,3019,58,21,482,82,492,4429,0,1594,930
19,此花,23747,52,11887,5422,6465,4427,1837,2250,340,232,1053,311,590,5039,0,208,52
20,中央,44427,63,27488,12038,15450,8146,578,7555,13,35,406,178,938,7085,0,151,63
21,西,35246,147,19518,9024,10494,7657,1037,6416,204,10,435,256,724,6223,5,423,142
22,港,28475,78,13817,6378,7439,5451,2294,2593,564,300,745,902,694,6282,0,284,78
23,大正,27923,21,13516,6190,7326,5628,2551,2576,501,127,747,334,563,6815,0,193,21
24,天王寺,17766,42,11346,6395,4951,2003,189,1814,0,11,150,31,438,3667,0,120,42
25,浪速,19370,62,9634,4706,4928,3504,780,2705,19,15,667,194,428,4690,3,238,59
26,西淀川,38285,88,20634,9435,11199,7147,2881,4024,242,74,1124,385,898,7655,0,368,88
27,淀川,55600,87,34695,14731,19964,7286,984,6284,18,64,524,41,1516,11237,0,237,87
28,東淀川,49602,84,29922,13143,16779,4501,1124,3371,6,115,787,199,1703,12225,0,150,84
29,東成,24624,114,13788,6434,7354,3564,877,2662,25,78,356,56,609,5844,0,329,114
30,生野,39536,134,22228,10114,12114,4063,809,3250,4,72,561,96,906,11102,0,508,134
31,旭,24951,20,15574,7061,8513,2073,394,1674,5,40,300,50,834,6001,0,79,20
32,城東,46708,91,28757,12956,15801,4414,971,3425,18,131,850,216,1603,10463,0,274,91
33,鶴見,37878,41,22300,10214,12086,4487,1789,2650,48,32,548,166,948,9118,0,279,41
34,阿倍野,24743,8,17237,9013,8224,1484,233,1249,2,17,230,18,739,4945,0,73,8
35,住之江,51910,182,26585,11653,14932,11235,4466,3564,3205,249,1753,857,928,9988,1,315,181
36,住吉,41100,12,26747,12132,14615,2558,536,2003,19,119,320,444,1011,9829,1,72,11
37,東住吉,43338,300,24835,11530,13305,4204,1078,3096,30,28,692,122,1014,11881,2,562,298
38,平野,71729,145,41560,18496,23064,7736,2151,5478,107,166,992,112,1468,19201,0,494,145
39,西成,27315,28,14530,6660,7870,3879,1347,2486,46,54,689,101,636,7254,0,172,28
