,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,17,897431,2771,528491,228242,300249,131058,32430,93558,5070,2420,17333,5429,21769,183207,22,7724,2749
11,18,890261,2761,521956,227480,294476,126297,30737,90331,5229,2276,16668,5417,21561,188433,16,7653,2745
12,19,878268,2863,508283,229573,278710,125027,30826,88836,5365,2277,16271,5404,21697,191667,15,7642,2848
13,20,863396,2868,498570,228472,270098,120348,31474,83334,5540,2220,15226,5381,21380,192770,15,7501,2853
14,21,848705,2956,487518,223916,263602,116947,30977,80570,5400,2171,15358,5397,21193,192737,52,7384,2904
