,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,40684,90,23639,10928,12711,7791,974,6754,63,222,462,161,847,7288,4,274,86
17,都島,25292,50,15939,7816,8123,2570,574,1996,0,23,381,69,773,5436,0,101,50
18,福島,22110,919,11242,5503,5739,3844,923,2869,52,23,487,82,492,4381,1,1559,918
19,此花,23560,78,11569,5289,6280,4404,1905,2146,353,235,1067,306,614,5122,3,243,75
20,中央,44051,72,27165,12068,15097,7795,551,7230,14,35,543,222,943,7199,11,149,61
21,西,34591,160,19189,8964,10225,7356,996,6155,205,13,437,256,697,6219,9,424,151
22,港,28107,88,13499,6319,7180,5237,2200,2535,502,311,747,890,680,6450,0,293,88
23,大正,27350,37,13144,5983,7161,5447,2449,2525,473,125,718,356,551,6812,2,197,35
24,天王寺,17438,42,11161,6385,4776,1912,188,1723,1,12,158,31,422,3628,2,114,40
25,浪速,18660,68,9208,4468,4740,3390,764,2612,14,14,662,185,410,4556,2,235,66
26,西淀川,37972,91,20433,9395,11038,7007,2830,3942,235,77,1088,387,888,7732,1,360,90
27,淀川,54700,95,33910,14443,19467,7172,979,6174,19,65,522,41,1560,11203,9,227,86
28,東淀川,48422,83,29056,12812,16244,4336,1104,3229,3,115,767,197,1687,12124,0,140,83
29,東成,24132,112,13496,6246,7250,3369,811,2534,24,87,348,59,615,5839,0,319,112
30,生野,38475,134,21467,9663,11804,3907,803,3100,4,70,551,91,914,10986,1,489,133
31,旭,24556,19,15188,6909,8279,2011,374,1631,6,40,308,50,798,6086,0,75,19
32,城東,46159,99,28459,12991,15468,4283,967,3298,18,55,787,217,1621,10468,0,269,99
33,鶴見,37402,47,22012,10149,11863,4408,1760,2602,46,30,554,160,961,8994,0,283,47
34,阿倍野,24390,7,17013,8952,8061,1431,236,1193,2,17,225,18,712,4906,0,68,7
35,住之江,51180,180,25847,11329,14518,11181,4504,3519,3158,219,1808,841,933,10051,2,300,178
36,住吉,40351,11,26030,11794,14236,2481,529,1932,20,130,338,443,980,9882,1,67,10
37,東住吉,41592,294,24147,11197,12950,4171,1091,3045,35,31,750,122,1029,10810,4,532,290
38,平野,70705,153,40519,17921,22598,7593,2109,5379,105,166,1003,113,1471,19343,0,497,153
39,西成,26826,27,14186,6392,7794,3851,1356,2447,48,56,647,100,595,7222,0,169,27
