,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,23,834729,2990,480418,227746,252672,112385,30335,76516,5534,2143,20514,12749,2471,5294,20679,191418,92,7172,2898
11,24,835576,3110,478560,230215,248345,110288,30128,74634,5526,2070,20682,12865,2522,5295,22742,194300,200,6934,2910
12,25,838591,3146,477502,234207,243295,109766,30440,73678,5648,1998,20950,13148,2494,5308,22837,198708,209,6830,2937
13,26,842716,3268,475085,235892,239193,109121,30950,72530,5641,1994,21248,13394,2555,5299,22188,206212,222,6868,3046
14,27,841066,3341,475260,239448,235812,108659,31281,71610,5768,2072,21660,13742,2628,5290,22822,203718,215,6875,3126
