,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,41111,135,24780,12696,12084,6571,851,5707,13,221,631,379,95,157,845,7805,21,258,114
17,都島,24922,45,15678,8246,7432,2357,584,1771,2,24,374,210,96,68,746,5663,2,80,43
18,福島,21893,888,11626,6431,5195,3190,787,2367,36,12,518,318,118,82,509,4564,7,1474,881
19,此花,24485,93,11513,5672,5841,4668,2132,2115,421,303,1574,1227,47,300,617,5582,5,228,88
20,中央,44798,65,28716,14184,14532,6610,456,6142,12,36,520,235,105,180,998,7796,14,122,51
21,西,34216,187,19653,10073,9580,6413,963,5267,183,18,679,364,65,250,719,6351,36,383,151
22,港,27572,115,13053,6655,6398,5170,2215,2435,520,196,1698,814,45,839,623,6528,9,304,106
23,大正,26378,55,12196,5883,6313,5332,2407,2475,450,141,1092,669,48,375,561,6817,5,239,50
24,天王寺,17438,44,11366,6995,4371,1561,173,1387,1,15,200,119,50,31,401,3792,2,103,42
25,浪速,18882,73,9622,5049,4573,3075,681,2385,9,20,857,354,320,183,410,4699,8,199,65
26,西淀川,37885,116,19635,9648,9987,6832,2802,3778,252,95,1597,1132,73,392,940,8423,9,363,107
27,淀川,54707,111,33855,15358,18497,6734,1021,5701,12,91,552,420,94,38,1559,11719,19,197,92
28,東淀川,47065,72,27256,12845,14411,3995,1081,2912,2,114,930,672,61,197,1510,13148,6,112,66
29,東成,23431,114,13055,6510,6545,3044,764,2261,19,10,397,227,114,56,618,6034,4,273,110
30,生野,37628,160,20277,9911,10366,3771,797,2969,5,72,673,491,90,92,852,11514,5,469,155
31,旭,23945,23,14210,6845,7365,1792,374,1409,9,36,470,374,43,53,760,6612,4,65,19
32,城東,44770,104,26914,13389,13525,3906,949,2941,16,32,915,536,163,216,1543,11229,5,231,99
33,鶴見,37653,73,21290,10622,10668,4026,1653,2353,20,33,746,478,114,154,1055,10240,7,263,66
34,阿倍野,24507,14,16845,9349,7496,1300,197,1102,1,16,236,172,46,18,645,5415,6,50,8
35,住之江,52295,240,24407,11430,12977,11970,5153,3330,3487,209,2881,1898,138,845,927,11575,16,326,224
36,住吉,39335,26,24651,12082,12569,2268,498,1749,21,132,796,287,67,442,1000,10431,9,57,17
37,東住吉,41637,270,23268,11543,11725,3836,1028,2756,52,66,928,552,258,118,1441,11690,10,408,260
38,平野,69915,212,38296,18245,20051,7218,2108,5056,54,56,1252,967,172,113,1548,21044,11,501,201
39,西成,25456,33,12923,6231,6692,3482,1276,2162,44,46,732,499,133,100,569,7541,2,163,31
