,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,20,863396,2868,498570,228472,270098,120348,31474,83334,5540,2220,20607,12749,2477,5381,21380,192770,15,7501,2853
11,21,848705,2956,487518,223916,263602,116947,30977,80570,5400,2171,20755,12808,2550,5397,21193,192737,52,7384,2904
12,22,837134,2944,482203,225228,256975,114317,30635,78236,5446,2071,20411,12592,2504,5315,21106,192173,52,7357,2892
13,23,834729,2990,480418,227746,252672,112385,30335,76516,5534,2143,20514,12749,2471,5294,20679,191418,92,7172,2898
14,24,835576,3110,478560,230215,248345,110288,30128,74634,5526,2070,20682,12865,2522,5295,22742,194300,200,6934,2910
