,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種特殊総数,普通特種,小型特種,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,42041,131,25769,13478,12291,6233,842,5378,13,220,650,373,121,156,999,7920,20,250,111
17,都島,25014,49,15726,8594,7132,2339,584,1752,3,30,365,204,92,69,831,5641,3,82,47
18,福島,21739,884,11638,6520,5118,2984,713,2236,35,14,519,319,118,82,537,4587,4,1460,880
19,此花,25009,112,11613,5920,5693,4821,2207,2115,499,305,1679,1326,53,300,697,5652,5,242,107
20,中央,45607,63,29768,14784,14984,6361,398,5951,12,42,509,239,91,179,1020,7789,11,118,52
21,西,34527,178,20344,10592,9752,6132,921,5068,143,16,673,355,71,247,799,6194,28,369,150
22,港,27679,119,13021,6815,6206,5324,2296,2411,617,207,1718,853,46,819,691,6414,7,304,112
23,大正,26463,60,11986,5955,6031,5476,2504,2528,444,171,1131,705,56,370,622,6822,4,255,56
24,天王寺,17583,46,11621,7338,4283,1518,176,1338,4,15,201,117,53,31,427,3696,2,105,44
25,浪速,19567,77,10092,5385,4707,3074,687,2376,11,26,920,394,343,183,515,4743,10,197,67
26,西淀川,38552,131,19817,10088,9729,6918,2923,3794,201,102,1700,1224,81,395,989,8658,16,368,115
27,淀川,55105,100,34104,15897,18207,6591,1034,5547,10,89,521,405,77,39,1699,11910,10,191,90
28,東淀川,46598,75,26809,13057,13752,3878,1047,2829,2,129,970,700,74,196,1679,13023,8,110,67
29,東成,23461,115,13129,6764,6365,2976,730,2226,20,12,397,219,123,55,657,6025,4,265,111
30,生野,37594,165,20310,10235,10075,3732,821,2907,4,75,699,509,96,94,931,11399,4,448,161
31,旭,23760,24,14133,7120,7013,1720,347,1362,11,38,451,347,50,54,812,6549,6,57,18
32,城東,44327,102,26789,13784,13005,3834,956,2863,15,30,893,543,133,217,1536,11023,3,222,99
33,鶴見,37771,86,21306,11062,10244,4174,1790,2359,25,31,797,513,128,156,1055,10146,9,262,77
34,阿倍野,24593,13,16900,9707,7193,1238,186,1051,1,16,242,178,45,19,739,5413,7,45,6
35,住之江,52794,280,24500,11878,12622,12435,5498,3279,3658,269,3142,2147,153,842,1046,11034,17,368,263
36,住吉,39321,22,24442,12409,12033,2286,510,1759,17,133,790,277,71,442,1098,10516,6,56,16
37,東住吉,41019,285,23215,11901,11314,3667,961,2657,49,64,956,588,254,114,1094,11606,9,417,276
38,平野,69983,213,37928,18875,19053,7244,2103,5067,74,68,1343,1052,181,110,1679,21235,10,486,203
39,西成,25320,35,12859,6520,6339,3454,1296,2114,44,44,759,515,143,101,653,7387,3,164,32
