,地域,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
16,北,44379,89,25141,9984,15157,10085,1380,8628,77,190,639,160,862,6972,4,330,85
17,都島,26576,52.0,16981,7368,9613,3649,828,2818,3,18,417,68,726,4583,1.0,134,51.0
18,福島,23096,941.0,11420,4817,6603,5028,1229,3763,36,35,539,83,474,3882,1.0,1635,940.0
19,此花,24358,6.0,12782,5230,7552,4934,2126,2549,259,225,1159,299,494,4272,2.0,193,4.0
20,中央,44351,78.0,26881,10200,16681,9325,646,8667,12,47,637,178,949,6136,2.0,198,76.0
21,西,35553,135.0,18838,7861,10977,9290,1495,7458,337,35,536,267,707,5429,9.0,451,126.0
22,港,29520,80.0,14952,6314,8638,5993,2155,3187,651,302,923,956,697,5412,1.0,285,79.0
23,大正,28929,25.0,14912,6014,8898,6321,2752,3044,525,108,783,342,540,5719,1.0,204,24.0
24,天王寺,18877,48.0,11799,5526,6273,2848,333,2514,1,18,167,31,514,3367,3.0,133,45.0
25,浪速,21107,40.0,10419,4587,5832,4604,923,3667,14,14,804,201,442,4365,1.0,258,39.0
26,西淀川,38130,75.0,21050,8650,12400,7981,3251,4542,188,96,1307,404,807,6102,3.0,383,72.0
27,淀川,57005,74.0,35918,13797,22121,9038,1375,7612,51,81,797,37,1456,9421,2.0,257,72.0
28,東淀川,54603,78.0,34218,13594,20624,6229,1606,4608,15,212,1138,201,1857,10567,3.0,181,75.0
29,東成,25976,107.0,14923,6252,8671,4396,936,3430,30,112,441,57,584,5088,4.0,375,103.0
30,生野,43798,119.0,25331,10285,15046,5797,1171,4621,5,65,682,106,945,10333,2.0,539,117.0
31,旭,26612,22.0,17198,7001,10197,2792,528,2258,6,36,364,41,839,5250,2.0,92,20.0
32,城東,48159,78.0,30249,12059,18190,5879,1293,4555,31,128,1215,220,1505,8652,1.0,311,77.0
33,鶴見,38337,73.0,23296,9570,13726,6020,2463,3518,39,74,827,163,810,6860,1.0,287,72.0
34,阿倍野,25597,9.0,17613,8119,9494,2314,349,1963,2,24,316,19,691,4540,1.0,80,8.0
35,住之江,52276,148.0,28947,11384,17563,10473,3966,4321,2186,206,2247,915,862,8301,3.0,325,145.0
36,住吉,45129,7.0,29982,12486,17496,3855,698,3139,18,145,477,450,1086,9052,1.0,82,6.0
37,東住吉,46122,317.0,27602,11603,15999,6010,1436,4548,26,24,860,125,1083,9806,4.0,612,313.0
38,平野,76444,113.0,46563,18896,27667,9740,2448,7253,39,180,1288,96,1377,16694,1.0,506,112.0
39,西成,30804,22.0,16920,6851,10069,5110,1647,3371,92,79,863,103,657,6882,1.0,190,21.0
