,年度,自動車総数,電気自動車総数,乗用車総数,普通乗用車,小型乗用車,貨物自動車総数,普通車貨物,小型貨物,被けん引貨物,バス,特種用途車,大型特種,小型二輪,軽自動車,電気小型自動車,小型特殊自動車,電気小型特殊自動車
10,14,905738,2736,533935,218448,315487,147711,37034,106034,4643,2454,19426,5522,20964,167685,54,8041,2682
11,15,900212,2743,530308,221585,308723,142416,35786,101924,4706,2473,18869,5488,21041,171701,35,7916,2708
12,16,899539,2736,529975,225894,304081,137609,34714,97960,4935,2467,17996,5449,21322,176946,26,7775,2710
13,17,897431,2771,528491,228242,300249,131058,32430,93558,5070,2420,17333,5429,21769,183207,22,7724,2749
14,18,890261,2761,521956,227480,294476,126297,30737,90331,5229,2276,16668,5417,21561,188433,16,7653,2745
